TYPES bold target_disappears target_dis_nearer target_dis_any
AXIS dynamism planning_cost effectiveness

% --- TILEWORLD SETTINGS:
% worldSize = 20
% holeGestationTimeMin = 60
% holeGestationTimeMin = 240
% holeLifeExpMin = 240
% holeLifeExpMax = 960
% initialNrHoles = 4
% wallSizeMin = 2
% wallSizeMax = 4
% initialNrWalls = 10

% --- RESULTS:
% dynamism, planning cost, type, effectiveness

64,2,0,0.05620953187798617
64,2,1,0.08326071208640141
64,2,2,0.11476587883721301
64,2,3,0.0019159006869461236
64,3,0,0.04088997931084568
64,3,1,0.07131987506218421
64,3,2,0.09114847015026663
64,3,3,0.0
64,4,0,0.03696702987335018
64,4,1,0.04692664972601652
64,4,2,0.05774288521328649
64,4,3,0.0
64,5,0,0.02549520117130002
64,5,1,0.03693899047943717
64,5,2,0.03608266352043088
64,5,3,0.0
80,1,0,0.053302729087059124
80,1,1,0.08549032751363615
80,1,2,0.0946931880876777
80,1,3,0.004149283368636116
80,2,0,0.034197053369852834
80,2,1,0.05918548680198538
80,2,2,0.072482184718184
80,2,3,0.0
80,3,0,0.020936655979114
80,3,1,0.04113874829187102
80,3,2,0.044370576427084356
80,3,3,0.0
80,4,0,0.025518594438736168
80,4,1,0.024116944326361977
80,4,2,0.01894887654278222
80,4,3,0.0
80,5,0,0.020569807540458743
80,5,1,0.016289806663472454
80,5,2,0.01223788091786632
80,5,3,0.0
